Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2018-10-16,36856.52734375,37321.46060152666,36645.19404476061,36941.06066334576,6825677
2018-10-17,37321.4609375,37617.327558748584,37194.66095696489,37321.4609375,8306193
2018-10-18,37236.9296875,37575.06298772702,36941.06304980136,37152.39636244325,8347725
2018-10-19,37110.12109375,37321.45435738184,36729.7212192127,37110.12109375,7842520
2018-10-22,36814.26171875,37152.39500663748,36518.39509184845,36729.728396778126,8357648
2018-10-23,36391.60546875,36729.73885289634,35968.93873856707,36602.938833841465,9531231
2018-10-24,35968.9296875,36433.8629737074,35715.32971320506,36391.596311324916,13522825
2018-10-25,34658.66015625,35123.59340224848,34278.260227705796,34320.52688643293,19338170
2018-10-26,34658.66015625,34912.260108612805,34151.46025152439,34743.19347370427,14413864
2018-10-29,34996.796875,35461.73016681763,34278.26360582729,34531.86358318236,14460521
2018-10-30,35799.85546875,36349.321963547816,34658.65582570838,34996.78905327627,14205190
2018-10-31,35842.12109375,36645.18748618072,35250.38796248526,36264.78761608196,17621480
2018-11-01,35630.796875,36307.063482354686,35630.796875,35884.39685275801,13423132
2018-11-02,37321.4609375,37405.99425785674,36180.261112684035,36391.59441357588,16517112
2018-11-05,37025.58984375,37025.58984375,36264.79005244007,36983.32318867723,9426777
2018-11-06,36983.32421875,37025.590875,36307.05771875,36983.32421875,7713625
2018-11-07,37194.65625,37617.322798295456,36687.45639204545,36856.523011363635,11553998
2018-11-08,37236.9296875,38082.26293806754,37236.9296875,37955.46295048241,12617397
2018-11-09,37448.2578125,37913.19103590576,37110.124559113996,37575.057782519754,7318500
2018-11-12,38209.0546875,38251.321340915376,36941.055085038715,37067.85504528484,8552566
2018-11-13,37617.32421875,37617.32421875,36687.457777387644,37110.12434164326,9311126
2018-11-14,37279.19921875,37617.33254499717,37025.59922406462,37617.33254499717,6783344
2018-11-15,37405.984375,37490.5176730226,36771.98463983051,37236.917778954805,5864067
2018-11-16,37194.65625,37828.65607244318,36941.05632102273,37701.85610795455,7777124
2018-11-19,36898.796875,37405.99683204467,36729.73022265178,37236.93017969645,7538720
2018-11-20,36180.26171875,36349.328362295564,35588.52846634054,35884.395092545274,9420664
2018-11-21,35588.53125,35757.597906769595,35334.9312648456,35334.9312648456,10769589
2018-11-22,35884.3984375,36053.46509680507,35503.99845406361,35503.99845406361,5970796
2018-11-23,35842.12109375,36011.187702682786,35419.45457141804,35884.3877459832,5192638
2018-11-26,36011.19140625,36180.25803257042,35588.52484044894,35630.79149702905,6613009
2018-11-27,36391.60546875,36433.87214176829,35926.67206554878,36264.80544969512,8367091
2018-11-28,36476.12890625,36518.39556778679,36137.99561395568,36180.26227549247,6943099
2018-11-29,36476.12890625,37067.862167765066,36264.79559856605,37067.862167765066,8473511
2018-11-30,35377.19921875,37194.66584528076,35292.66588728345,36729.732522214756,19775519
2018-12-03,36560.6640625,36687.46405346821,35842.13078034682,36137.997425939306,12110702
2018-12-04,35630.796875,36264.79681939502,35419.463560201664,36053.46350459668,14347746
2018-12-05,35039.0625,35292.662469843184,34531.86256031363,34574.129221954165,12631983
2018-12-06,34235.9921875,34743.19207175926,34193.72553047839,34320.525501543205,14251826
2018-12-07,34616.3984375,34996.798420329666,34531.865107982296,34574.131772741144,11433083
2018-12-10,33982.40234375,34362.802369986006,33813.335665422885,34193.73569165889,14892263
2018-12-11,34024.66796875,34405.067983307454,33982.40130046584,34320.53464673913,10638766
2018-12-12,34193.73046875,34405.063784378865,33940.13048999536,34024.66381624691,12024279
2018-12-13,33813.3359375,34447.33598632812,33813.3359375,34362.80264648437,26254646
2018-12-14,32925.73046875,33982.39704348524,32714.39715380295,33982.39704348524,19671783
2018-12-17,33094.796875,33475.19683908046,32672.130248243935,32672.130248243935,11532968
2018-12-18,32883.46484375,33137.06482969152,32376.264871866966,32376.264871866966,11042101
2018-12-19,33052.52734375,33263.86063878676,32841.19404871324,32883.46070772059,9942037
2018-12-20,32672.125,33052.52490297542,32545.325032341527,32629.858344113843,11937617
2018-12-21,32672.125,32672.125,32207.191785252264,32291.72509702458,14947080
2018-12-24,32798.9296875,33010.26299734214,32376.263067815722,32545.329715689437,9729530
2018-12-26,32418.5234375,32756.65666761734,32376.25678373533,32460.790091264666,12707675
2018-12-27,32635.244140625,33104.50908905229,32507.262791053923,33019.18818933824,10510643
2018-12-28,33019.1875,33189.82929586563,32592.58301033592,32635.243459302328,9900267
